cat,duration
CA_1_HOBBIES_1,25.419459342956543
CA_1_HOBBIES_2,23.603944301605225
CA_1_HOUSEHOLD_1,45.93808650970459
CA_1_HOUSEHOLD_2,15.33862829208374
CA_1_FOODS_1,13.822254419326782
CA_1_FOODS_2,41.221474409103394
CA_1_FOODS_3,48.06928038597107
CA_2_HOBBIES_1,25.844398736953735
CA_2_HOBBIES_2,18.47976064682007
CA_2_HOUSEHOLD_1,41.06894636154175
CA_2_HOUSEHOLD_2,36.17639970779419
CA_2_FOODS_1,21.148738861083984
CA_2_FOODS_2,17.383420944213867
CA_2_FOODS_3,33.185927629470825
CA_3_HOBBIES_1,16.35145902633667
CA_3_HOBBIES_2,15.266326904296875
CA_3_HOUSEHOLD_1,36.021148443222046
CA_3_HOUSEHOLD_2,31.209523916244507
CA_3_FOODS_1,22.30461549758911
CA_3_FOODS_2,29.348135709762573
CA_3_FOODS_3,44.1900737285614
CA_4_HOBBIES_1,19.713490962982178
CA_4_HOBBIES_2,15.928897142410278
CA_4_HOUSEHOLD_1,35.232434034347534
CA_4_HOUSEHOLD_2,29.218825340270996
CA_4_FOODS_1,29.145495653152466
CA_4_FOODS_2,42.84423875808716
CA_4_FOODS_3,20.634264707565308
TX_1_HOBBIES_1,18.422295808792114
TX_1_HOBBIES_2,20.508132934570312
TX_1_HOUSEHOLD_1,16.908241510391235
TX_1_HOUSEHOLD_2,28.872141361236572
TX_1_FOODS_1,24.275620222091675
TX_1_FOODS_2,22.4018714427948
TX_1_FOODS_3,38.54885387420654
TX_2_HOBBIES_1,32.896286964416504
TX_2_HOBBIES_2,18.8674533367157
TX_2_HOUSEHOLD_1,25.759292602539062
TX_2_HOUSEHOLD_2,26.81853985786438
TX_2_FOODS_1,25.651663780212402
TX_2_FOODS_2,35.326212882995605
TX_2_FOODS_3,39.64380764961243
TX_3_HOBBIES_1,29.417235851287842
TX_3_HOBBIES_2,21.51083540916443
TX_3_HOUSEHOLD_1,33.7867226600647
TX_3_HOUSEHOLD_2,35.77648949623108
TX_3_FOODS_1,17.66780138015747
TX_3_FOODS_2,21.791489362716675
TX_3_FOODS_3,28.010082960128784
WI_1_HOBBIES_1,33.54907274246216
WI_1_HOBBIES_2,20.75139284133911
WI_1_HOUSEHOLD_1,31.247897148132324
WI_1_HOUSEHOLD_2,50.9100604057312
WI_1_FOODS_1,29.3084557056427
WI_1_FOODS_2,48.48024106025696
WI_1_FOODS_3,37.137511253356934
WI_2_HOBBIES_1,33.12383317947388
WI_2_HOBBIES_2,23.90969204902649
WI_2_HOUSEHOLD_1,23.888177633285522
WI_2_HOUSEHOLD_2,45.582982540130615
WI_2_FOODS_1,53.08114767074585
WI_2_FOODS_2,41.20746445655823
WI_2_FOODS_3,33.98747539520264
WI_3_HOBBIES_1,33.943095207214355
WI_3_HOBBIES_2,31.201480388641357
WI_3_HOUSEHOLD_1,26.792845249176025
WI_3_HOUSEHOLD_2,41.413166761398315
WI_3_FOODS_1,24.338315725326538
WI_3_FOODS_2,39.21984362602234
WI_3_FOODS_3,50.092604637145996
